Question_1,Question_2,flag
"Sure, Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH  Move mouse over the node.Right click on it and option to delete the node will be displayed
","second, navigation : loop click get start → data administration with graph move mouse over the node. right → push it or try to scan the path will be displayed",1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Drag and rearrange nodes feature is available . 
",Our systm doesn ' t hav nodes limitationn.,0
" Input and context tree modeling,Test case modeling and Test case input modeling.","mouse click scroll to zoom - in and zoom - us out off the tree, or click on and just hold to still move tree around.",0
"I don't know
",or do i print the context files? can you provide a template?,0
"Previous information are the previous stages, like input and contect stages.","sure. "" for every node : go to login → get started → data access with graph move the mouse over the node. right next to it and clicked “ create a node ” option. then popup window will follow. add name upon a node and click create. """,0
"Sorry, we don’t have this option.",Currnelty no,0
Where can I store the output information?,where can but i store the output as information?,1
"I tried to upload a Jason file, where can I see my testing tree?",Yes,0
"While building the context tree, my web page was frozen. what should I do?","after building another green tree, one final page was frozen. what should i do?",1
Can I add multiple nodes to my context tree at once?,can i add multiple tree nodes to my context file tree almost at once?,1
What if I accidentally deleted the whole test case?,Did you s ave it? You can only re store i nfo from the sa ved tree.,0
Can I use my previous trees?,I don ' t nkow,0
Can we customize property to each node?,we can ’ to t do that,0
"No.
",No.,1
"I am sorry. Users are not allowed to do that directly. Nodes and child Nodes are sorted based on name (A-Z) after each action (add, delete and rename).
","I am so rry. Us ers are not allowed to do th at directly. No des and chi ld Nod es are sorted ba sed on name (A - Z) after ea ch ac tion (add, del ete and rename ).",1
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed
",¿ can mine do if you want to determine my input classification cases?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",some tree should feature only three peaks. there is another limit in the number intermediate nodes over child nodes. higher the nodes maximum number of test cases will are generated.,1
"Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
","great more question! the more greater the number levels of nodes, the more exact test cases which will be generated next and the much longer attempts it will all take. so if possible create a tree with their necessary key values.",1
How to add or delete node from input classification?,there simply is no good such limitationn.,0
"Yes, it is like what does it stored as?","I am sory, the anwer is YES.",0
"No
",I can ’ t find the deilete buttYon for input classification lnodes?,0
"I tried to add forth level, but not working.","sam paused to add forth level, but no working.",1
"I am sorry to hear that
",i am sorry to say that,1
"Actually, there is no restrictions. However, more nodes will take more time to generate test cases and modeling inputs.
",i couldn't know,0
"Sorry, we don't have this option right now. If you have more question, please contact admin.
","sorry, we still don't have any this other option right of now. if you now have one more question, please contact admin.",1
Yes please., Not exatl. The sam directory stys opn oly if you only use this app.,0
"Yes, you can go to Login-> Get Started -> TEST CASE GROUP, then select appropriate test case group, scroll to right till you see the action column. Hover over each action button to see the description, click ‘View Test Cases’. Then you will be redirected to input test cases. Did I solve your problem?",I don ' t unde*rsta4n(d,0
During which stage?,... great. how can google map nodes from input classification?,0
What kinds of tests can be done with this tool?,what kinds of things were being done with this tool?,1
What does copying tree for?,can anyone merge the values at clouds 2 and cloud 3 in my context tree?,0
"Oh, thanks. Clear instructions.",its release price is not determined yet,0
"I understand
",I undetr6stanLd,1
Would you give me more specific information about it?,are you worrying about adding nodes in input and matrix?,0
"Nodes and Child Nodes are arranged/sorted based on name(A-Z) after each action(add,delete and rename)",then could will you please provide clarification?,0
"No problem. Just let you know, when you rename a node, the order of nodes will be automatically sorted by new name (A-Z).
","oh no problem. just let you know, when you rename of a given node, the total order of nodes will be then automatically sorted out by new vertex name ( not a - not z ).",1
"“Create 5 Nodes” option to add five child nodes with default names. Then select the node to rename with appropriate values
",were things not working when i could more level for my input through tests?,0
"Yes, thank you. How can I delete my saved trees?",Yes,0
Sounds great. How can I delete nodes from input classification?,BSounds great. How can I delete nkodes !from input classification?,1
Yes.,Yes.,1
"Sure. You can upload your own tree by using JSON file.
",How can I do the rvesion control of the inupt and ocnetxt lcassfiicaiotn input?,0
Could you provide some examples?,ould you provide some examples?,1
"Sorry, now we only support adding category names to each node.
","sorry, now we only generally support adding category member names equally to each node.",1
" Input and context tree modeling,Test case modeling and Test case input modeling.","I wasn ' t abl&e to crea9te and delete a node fro7m i!nput ilnclOasusific#ation, can you hxelp me?",0
How can I delete nodes from input classification?,How can I delete nqodes from Binput classification?,1
"We will issue new resources once core functionality is built.
",We wlil issue new resources once core functinaoilty is ubilt.,1
"Sorry, we don't accept image file right now, but you can upload JSON file.",I am not sYure,0
It’s needed to simplify the work,"i am removed. users are not allowed 2 do anything anymore. should not child avoid being sorted based on name ( a - n ) after each action ( restore, delete and rename ).",0
"Exactly. The operation is the same.
",1. the operation is the truth.,1
Can I upload my own JSON file as input classification and content classification?,the output tree can be locally generated through the developer can also create the tree.,0
"No difference
",No diZfDfekrence,1
Is there any naming convention for the file?,is there any naming agreement for the species?,1
"No
",Do you havEe any Mmore question?,0
You can mode mouse over the node. Right click on it and option to delete the node will be displayed.,absolutely right.,0
"I don't know
",how can operator i immediately organize the model context with features? can you provide a template?,0
"No.
",trans.,1
Over 100 nodes.,Over 100 nods.,1
"Actions, such as add, delete, rename and etc. You can find different actions in the option list. ","Actions, uch as add, elete, renae and etc. You can ind dfferen actions in the ption list.",1
How to delete nodes from input classification?,How to delete #nodes fr3om input classification?,1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.
",go to file → request started → use request with like select tree / file or dropdown list. page will be displayed.,1
It’s necessary for team cooperation.,It ’ s necTenssary for team cdooperat^io%n.,1
Can I input the limitation number?,can she input the limitation files?,1
"Yes, you can go to Login-> Get Started -> TEST CASE GROUP, then select appropriate test case group, scroll to right till you see the action column. Hover over each action button to see the description, click ‘View Test Cases’. Then you will be redirected to input test cases. Did I solve your problem?
","Yes, you can go to Lovgin -> Get Starutexd -> TEST CASE GROUP, hthen select appropriate test case group, scroll to right till you see the action column. Hover Xover each action button to see the desc#ripKtioHn, click ‘ View Teswt Case&s ’. Then you wiall be redirected to in2put teZst cases. Did I solve your problem?",1
What functions are supported by the tool?,what functions are represented throughout the tool?,1
 Is there template available for reference?,is there template content available available for reference?,1
So I can’t test NLP applications. Is it right?,is i the simple way to merge two merged trees? i don't bother to construct either merged tree from scratch.,0
Like is it restorable?,"Gret question! The greater the nmber of odes, the mre tet cses ill be generated and the longer it will take. So if posibe create a tree wth ncessay key values.",0
Can multiple users share a project and work together?,Can multi8pl%e usezrs share a project and work Ft2ogether?,1
"There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
","I mea the nod etail, sch as creation time, last modification ime, numer of children and etc.",0
 We are in the process of reconfiguring the UI this feature will be removed,We are in the proc0es_s of XrecobnKfiguring the UI this YfeaturEe will be YremoveMd,1
You mean if I refresh I will lose what I have built so far!?,"Sor ry, I don ' t unders tand you questi on.",0
"I tried to add forth level, but not working.","I tr0ied to add fourth level, but not wBoxrking.",1
How can I organize the context features? Can you provide a template?,How can I oranie the ontex features? Can you rvide a emplat?,1
Can we customize property to each node?,and users customize property to each node?,1
"We will check it.
","great problem! the greater the number number nodes, the less test at will were generated while the longer it can see. what if you create a tree with necessary key values.",0
Could you please explain what do you mean by version?,"yes, thank god you. how can i never delete my ever saved fruit trees?",0
Can multiple users modify the same application input and context classification input?,Move mouse ovjer the no7de. RYight click on it and optio8n to delete the node wiGll be dis#playeid.,0
Can I set specific  execution time for the test cases?,Can I set spZecifWic execution time for the tegst casJes?,1
"There is no limit. You can add child nodes as needed. 
",there is obviously no limit. you each can add up child nodes as needed.,1
No.,No.,1
"We will issue new resources once core functionality is built.
",sure. you just choose to change files or create notes.,0
Deleted from the Test Case Group?,Deleted from the Test ase Grou?,1
 Can user use same login with currently with multiple browser?,can user perform same function with currently available multiple browser?,1
"Exactly. The operation is the same.
",Expected output is ge nerated from the output tree once “ genera te t est ca ses ” action t riggered. If th is action is inte rrupted th en test case generation will be t erminated.,0
"Thank you for your help.
",How can I dlete a ode?,0
"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.
",I mean in eneral.,0
What actions can I do to a node in the context tree?,f,0
Are you looking for recovery?,may humans define input of file as content classification?,0
What is test case modeling?,What is test acse modeling?,1
Can I merge the nodes at level 2 and level 3 in my context tree?,can i formally merge the nodes at level 2 again and a level of 3 in my context tree?,1
"If I accidently delete the node, can I recover it?","If I accdiently dleete the node, can I recoerv it?",1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH
",go to login → move started → calculate transaction with graph,1
"Thank you for your help.
",Thank you for yur help.,1
How can I achieve it?,How can I achie it?,1
No.Also User should not use same login with currently with multiple browser.,no. also user account should only not too use same via login with currently with multiple browser.,1
"I mean the node detail, such as creation time, last modification time, number of children and etc.",Th ere is no limit on the nu mber of nod es and c hild n odes. Hig her the nodes mo re no of te st cases wi ll be generated. So if possible create tre es with key values.,0
I think it is very useful function if the test cases are huge and avoid workload traffic,so hope traffic is very useful function if the test cases is huge and avoid traffic traffic,1
"JSON. You should build your context tree as a json file.
",JSON. You sh ould bu ild your context tree as a js on file.,1
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Hover mouse on the target node, and right click. You'll see the corresponding options.
","Navigation: ogin → Get Started → DAA ADMINISTRATION ITH GRAH. Hover mouse on the targt nod, and riht cick. You ' ll see the coespoding options.",1
"Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
",Go to ogin → Get tartd → Test Case Grou,0
"Yes, you do need to do that.
","i don't know do i create a computer node from input classification, could we make people?",0
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
","sorry, now don't truly understand his question.",0
"Yes. You can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.",We wlil issue new resources once core functinaoilty is ubilt.,0
"Yes. After you save it, we can download the corresponding json file generated by the app.",What ty pe of version is the o utput?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",So I can ’ t tset NLP paplicaotins. Is it rgiht?,0
 Is there any plan?,Is there any pla$n?,1
"Sure. But don't forget to save your changes.
",Su re. But don ' t for get to save y our changes.,1
"You can merge the two tree files offline. And then upload the merged JSON file.
","You can go to Login → Get Started → DATA ADMINISTRATION, sele ct f ile type (in put, conte xt or output) t hen cl ick sub mit.",0
"Once the “test case group” is created, users can edit input,context and output trees. Basically, you can generate the test case group first and then edit the information.
","O nce the “ t est case gro up ” is cre ated, users can edit input, co ntext and output trees. Basi cally, you can generate the t est case gr oup fir st and then ed it the information.",1
No.Also User should not use same login with currently with multiple browser.,"Sorry, we don ' t have tihs option rihgt now. If you ahve more uqestoin, please contact admni.",0
"Yes, I agree
","there is no limit both to the maximum number of nodes and of child nodes, but a tree should have only for three distinct levels.",0
"Yes, you can.
","The mo re nodes, the more t est cases wi ll be genera ted. It wi ll take a looooong ti me. So if po ssible delete some redu ndant no des and just retain the key ones.",0
"You can organize your context features into a tree structure level by level. A parent node presents a context feature, and a child node presents a subfeature of that context feature.",it is not done yet,0
"If I have more than 50 child nodes for the parents nodes, would that be okay?","if so i can have more than 50 child nodes for the foster parents child nodes, would that possibly be okay?",1
Is there any other way to merge two context trees? I don't want to build the merged tree from scratch.,No.,0
"Ok, you can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.","Ok, you can go Go to Login → Get Tsrated → DATA DMAINISRTATINO 1. Sleect SJON Fiel 2. Selcet Ifle Type (Input, Cotnetx or Output) 3. Clcik sumbit.",1
Is there any way to restore the deleted test case?,"sorry, we definitely don't have to this option open right of now. if you will have a more question, please contact admin.",0
May I use input classification file as content classification?,Will you support mulfti - user acccess later?,0
Can multiple test cases be executed then?,The tree should zhave onmly three levels. 7There is no lLimit on the nu3mber of nodes and chiEld nodes. Hig7her the nodes more no of test Ncases will be CgenTerated. So if possible create trees gwith key values.,0
"Sorry, we don't have such function. ","Sorry, we don ' t ha ve s uch func tion.",1
"Select tree/file from dropdown list. Tree will be displayed.
",select tree / search call dropdown list. tree will get retrieved.,1
Can I use input classification files as my content classification?,could you use input classification files as my primary classification?,1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.
",Go to Login → Get Statrde → DAAT ADMINSITARTNIO WITH GRAPH Select tree / ifle from dropdown lsit. Tree will be dsipalyed.,1
What's your issue,What kinds of AI papliatcions can be etsted by tihs tool? Can I test NLP paplicaitosn?,0
"The tree should have only three levels.
",The tree hsould haev only three levels.,1
"I tried to add forth level, but not working.",have you tried'create two trees'simultaneously?,0
"Application output is stored in the form of String. This output is generated by the application.
",Applicat ion out put is st ored in the fo rm of Stri ng. This output is generated by the application.,1
"Exactly. The operation is the same.
",Expected output is genratd from the outut tre oce “ generate test cass ” action tigered. If tis action is interrupted then tet case genrtio will be terminated.,0
Do you mean how many nodes you can add to your context tree? Am I right?,do you you mean how many new nodes are you can add to your internal context tree? or am i right?,1
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH  Select tree/file from dropdown list. Click Delete.,Go to Login → Get Stratde → DATA ADMINISTRATION WITH GRAPH Select tree / fiel rfom rdpodown ilst. Click Dleete.,1
How can I change the order between features?,How can I change the oder beten features?,1
Can multiple users share a project and work together?,Tqhanks for you help. Can I upl7oad an lexcel file?,0
How can I do the version control of the input and context classification input?,How can I do the verisno control of the input and ocnetxt classification niput?,1
"Sure.""For creating node:Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.""","Suer. "" For creaintg node: Go to Login → Get Straetd → DATA ADMINISTRATION WITH GRAPH Move the muose over the node. Right click on it and selcet “ Rceate Child Node ” potion. A popup window will open. Add naem for the onde and click rceate. """,1
"Let me check
","and am sorry. computers are only allowed to do that anymore. child and child nodes are sorted depending at code ( a - z ) or each action ( set, delete and rename ).",0
How can I do the version control of the input and context classification input?,e exactly. thus the operation is the same.,0
"Sure. You can uplaod your own JSON file.
",3. they can uplaod your past json file.,1
No. This feature will need to be developed.,no. this feature may need and become developed.,1
Why is there only one file version available?,"sorry, we... u longer have this option.",0
I can't rename my node?,why can't rename my parents?,1
"I have a problem of uploading my input classification, how can I fix it?","yeah, you can.",0
I mean in genneral.,I me an in genneral.,1
"Sorry, we don't have this option right now. If you have more question, please contact admin.
",application output usually stored of the form of string. this output being generated by base compiler.,0
How can I use the test case group function best? ,How can I use the test acse rgoup function ebst?,1
Can I upload my own input classificatin tree?,log go to login → contact twitter click to page view google feedback form add bug status report.,0
 Currently we do not have this facility. Users will need to contact the admin,Currently we do not hvae htis faclitiy. Users will need to cnotcat the admin,1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",The tere should ahve only three levels. Htere is no ilmit on the nmuber of nodes and chlid nodes. Higher the nodes more no of test cases wlil be ngeerated. So if possible cretae trees with key vlaues.,1
There is a ‘create 5 Nodes’ option to add five child nodes with default names. Then you can select the node to rename with appropriate values.,there does a ‘ create 5 nodes but that can add you child nodes as default names. but you can select any node to set with appropriate values.,1
"Sorry I don’t know
","for example, the image images of the dog. the dog's posture, similarity to orientation therefore better be regarded using context.",0
Where can I find the deleted test case?,or where can i now find the deleted test case?,1
"May I ask how many nodes in your context tree?
",she can ’ t login with any account and emails.,0
So I can’t test NLP applications. Is it right?,Tha+nks for your help.,0
"There is no limit to the number of nodes in the context tree, but you can only have one root.
","here is no limt to the numbe of node in the cotxt tree, but you can nly have one root.",1
"We will add the feature in future
",he will add the feature during future,1
"Sure. You can upload your own tree by using JSON file.
","sorry, says i don'to t actually understand you question.",0
No.,No.,1
 Is there any plan?,The 0tree should have onlvy three levels. Threre is no l$imit on the Xnumber of node2s and child nodTes. Higher the nodes qmore no of test case3s will be generated. So if possible create trees with key vaelues.,0
yes.,have not you tried'create by child and node'method?,0
"I don’t know
",i just don ’ t know,1
"What if I accidentally return back to the previous stage, will output information be saved?","yes, you can go to login - > get started - > task case group, then select from test case group, next from right till you see the action column. hover over each action button to scan the description, which ‘ view test cases ’. thus you will remain redirected to input test cases. could i solve a problem?",0
"Yes, you can.
","yes, you finally can.",1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",the foundation should have only three levels. there is no specification on the number of layers and sub nodes. higher 3 nodes more number of test structures will be tested. so start i create trees with key values.,1
Are you asking about the tree?,Are you askiFng a1bout the tree?,1
"Oh, thanks. Clear instructions.",the release date is currently not currently determined yet,0
For deleteing node:Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH  Move mouse over the node.Right click on it and option to delete the node will be displayed,"way to sure, may you please clarify'previous information '?",0
No.Also User should not use same login with currently with multiple browser.,"Yes, no prlobem.",0
"I tried to add forth level, but not working.",We can ’ t do t^hat,0
"Of course. Mouse hover on a node and right click. Choose the ""Create Child Node"" option. You can customize the nodes to be added in the popup window.
",how can i change the password? i can t t remember any password.,0
What can I do if I want to delete my saved tree?,otherwise there currently is no limit attached on the number of nodes and child of nodes. higher the nodes give more if no examples of these test cases will be generated. so if possible create prototype trees with key model values.,0
"Once the “test case group” is created, users can edit input,context and output trees. Basically, you can generate the test case group first and then edit the information.
","once each initial test case group ” fully created, users can edit model, context and attribute trees. basically, one can generate the data case group first to then get input information.",1
Can I add more nodes?,Can I add moer nodes?,1
"Yes. You can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.","Yes. You can go Go to Login → Get Staertd → ADTA AIDMNSIRTATION 1. Select JSNO Fiel 2. Select Fiel Ytpe (Input, Octnext or Uotput) 3. Click sumbit.",1
What functions are supported by the tool?,"!Sure. "" For creaAtinRg node: Go to LogiRn → Get Started → DATSA ADMINISTRATION W7ITH GRAPaH Move the mouse osver the node. RIight click on it and select “ Chreate %Child Node ” option. A popup window will open. Add name for the node and click create. """,0
"Once the “test case group” is created, users can edit input,context and output trees. Basically, you can generate the test case group first and then edit the information.
","Once the “ tes case roup ” is crete, users can edt input, cotex and output tees. asicaly, you can generate the test ase grup firs and then edit the information.",1
"Just by looking at the child nodes, it feels like the child nodes are lacking of something.",During the ouput stage?,0
May I use input classification file as content classification?,or may do i use input classification file as content item classification?,1
What do you mean by format?,Wat actions can I do to a tre nde?,0
"Mouse hovers on a node and right click, then the option list will appear.
",they are ways maximal test cases can be executed whilst the app platform is tested?,0
 You can limit the number of test cases by limiting the number of nodes in input and context tree.,The tree should hvae only three levels. Htere is no limit on the number of nodes and child noeds. Highre the noeds more no of etst cases will be gnereated. So if possible cerate trees with key values.,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",The tree sholud have only three leevls. Tehre is no limit on the nmuber of nodes and hcild nodes. Higher the noeds more no of test cases will be generated. So if possible rceate rtees wiht key vlaues.,1
Sure.,now please.,0
Yes,you will need first create an image tree.,0
Alright. Do you know how many nodes can I enter for my input classificaiton? Is there any limitation?,No,0
No.,No.,1
"Yes, you can go to Login-> Get Started -> TEST CASE GROUP, then select appropriate test case group, scroll to right till you see the action column. Hover over each action button to see the description, click ‘View Test Cases’. Then you will be redirected to input test cases. Did I solve your problem?
",Name the files acrcqording$ly and stuore multiple ve2rsioXns of the file. Alaso copy tree function is availa0b^le,0
"Yes. You can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.","yes. help you sure can go go go to login → help get you started → data file administration 1. select json and file 2. screen select file type ( instance input, context or file output ) 3. click submit.",1
